vessel_name,imo_number,berth_id,start_time,end_time,status
HATNYANAWATI,9269594,B77,2026-08-29T21:00:00+00:00,2026-08-30T02:11:33.886661+00:00,confirmed
HAMBURG HIGHWAY,9712644,B65,2026-08-29T21:00:00+00:00,2026-08-30T08:13:13.418325+00:00,confirmed
EDWINE OLDENDORFF,9717668,B72,2026-08-29T21:00:00+00:00,2026-08-30T07:50:06.169790+00:00,confirmed
INCE SOUTHWIND,9969170,B37,2026-08-29T21:00:00+00:00,2026-08-30T06:51:27.095978+00:00,confirmed
BOOTES,1013652,B22,2026-08-29T21:00:00+00:00,2026-08-30T08:28:04.306489+00:00,confirmed
GUO HAI LIAN 568,9591557,B59,2026-08-29T21:30:00+00:00,2026-08-30T08:27:27.901485+00:00,confirmed
MSC SHRINIKA V,9292230,B25,2026-08-29T22:00:00+00:00,2026-08-30T09:44:27.672100+00:00,confirmed
COSCO SAO PAULO,9484388,B04,2026-08-29T22:00:00+00:00,2026-08-30T08:44:21.036974+00:00,confirmed
XIN YANG PU,9320477,B105,2026-08-29T22:00:00+00:00,2026-08-30T02:17:54.312873+00:00,confirmed
MSC ROME,9964211,B80,2026-08-29T22:00:00+00:00,2026-08-30T02:59:58.807518+00:00,confirmed
HE CHI,9611682,B57,2026-08-29T22:30:00+00:00,2026-08-30T08:30:57.221721+00:00,confirmed
WAN HAI 373,9958119,B10,2026-08-29T22:30:00+00:00,2026-08-30T07:21:45.826957+00:00,confirmed
GH UMEKO,9708576,B40,2026-08-29T22:45:00+00:00,2026-08-30T03:10:45.619651+00:00,confirmed
LUCKY BLESSING,9182021,B109,2026-08-29T23:00:00+00:00,2026-08-30T08:52:57.698335+00:00,confirmed
CAPE PROGRESS I,9385415,B28,2026-08-29T23:00:00+00:00,2026-08-30T06:31:00.535522+00:00,confirmed
OMALOS,9604196,B133,2026-08-29T23:00:00+00:00,2026-08-30T09:32:13.015996+00:00,confirmed
EVER VISTA,9951020,B63,2026-08-29T23:00:00+00:00,2026-08-30T05:05:56.539860+00:00,confirmed
YU XIAO 10,9279800,B113,2026-08-29T23:30:00+00:00,2026-08-30T03:36:50.921444+00:00,confirmed
YASA EAGLE,9619529,B126,2026-08-29T23:30:00+00:00,2026-08-30T09:10:55.315845+00:00,confirmed
FSL SINGAPORE,9845037,B100,2026-08-29T23:30:00+00:00,2026-08-30T09:16:13.323684+00:00,confirmed
