vessel_name,imo_number,tug_id,start_time,end_time,status
HATNYANAWATI,9269594,T20,2026-08-29T21:00:00+00:00,2026-08-29T21:30:39.933804+00:00,confirmed
HAMBURG HIGHWAY,9712644,T23,2026-08-29T21:00:00+00:00,2026-08-29T21:33:30.267604+00:00,confirmed
EDWINE OLDENDORFF,9717668,T16,2026-08-29T21:00:00+00:00,2026-08-29T21:44:20.083556+00:00,confirmed
INCE SOUTHWIND,9969170,T18,2026-08-29T21:00:00+00:00,2026-08-29T21:48:06.655434+00:00,confirmed
BOOTES,1013652,T22,2026-08-29T21:00:00+00:00,2026-08-29T21:38:53.990475+00:00,confirmed
GUO HAI LIAN 568,9591557,T26,2026-08-29T21:30:00+00:00,2026-08-29T22:24:05.965004+00:00,confirmed
MSC SHRINIKA V,9292230,T10,2026-08-29T22:00:00+00:00,2026-08-29T22:30:36.326682+00:00,confirmed
COSCO SAO PAULO,9484388,T15,2026-08-29T22:00:00+00:00,2026-08-29T22:53:15.110703+00:00,confirmed
XIN YANG PU,9320477,T31,2026-08-29T22:00:00+00:00,2026-08-29T22:36:57.352168+00:00,confirmed
MSC ROME,9964211,T09,2026-08-29T22:00:00+00:00,2026-08-29T22:31:33.074309+00:00,confirmed
HE CHI,9611682,T25,2026-08-29T22:30:00+00:00,2026-08-29T23:21:40.153442+00:00,confirmed
WAN HAI 373,9958119,T33,2026-08-29T22:30:00+00:00,2026-08-29T23:13:26.597059+00:00,confirmed
GH UMEKO,9708576,T03,2026-08-29T22:45:00+00:00,2026-08-29T23:38:56.360577+00:00,confirmed
LUCKY BLESSING,9182021,T22,2026-08-29T23:00:00+00:00,2026-08-29T23:32:00.355463+00:00,confirmed
CAPE PROGRESS I,9385415,T11,2026-08-29T23:00:00+00:00,2026-08-29T23:34:30.481038+00:00,confirmed
OMALOS,9604196,T26,2026-08-29T23:00:00+00:00,2026-08-29T23:46:50.995055+00:00,confirmed
EVER VISTA,9951020,T29,2026-08-29T23:00:00+00:00,2026-08-29T23:37:42.972579+00:00,confirmed
YU XIAO 10,9279800,T30,2026-08-29T23:30:00+00:00,2026-08-30T00:16:30.091542+00:00,confirmed
YASA EAGLE,9619529,T17,2026-08-29T23:30:00+00:00,2026-08-30T00:28:39.505415+00:00,confirmed
FSL SINGAPORE,9845037,T06,2026-08-29T23:30:00+00:00,2026-08-30T00:11:16.929689+00:00,confirmed
